date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,Bleeding Border,90.180361,48,0.49,4.99,416290,4.8,
12/8/25,Osteya,90.180361,57,0.49,4.99,402980,0.8,
12/8/25,Flobe,90.180361,84,0.49,4.99,434530,0.8,
12/8/25,Rock 'N' Roll Defense,90.180361,83,0.49,4.99,438480,3.1,
12/8/25,Sixtieth Kilometer,90.180361,78,0.49,4.99,448780,4.5,
12/8/25,X-17,90.180361,51,0.49,4.99,448060,4.8,
12/8/25,Mind Games,90.180361,64,0.49,4.99,448560,4.8,
12/8/25,Gravity Den,90.180361,83,0.49,4.99,454970,0.8,
12/8/25,Rogue Port - Red Nightmare,90.180361,75,0.49,4.99,467310,0.9,
12/8/25,Rise of the Ancients,90.180361,43,0.49,4.99,485950,4.8,
12/8/25,Call Of The Mighty Warriors,90.180361,58,0.49,4.99,485440,4.1,
12/8/25,Ninja Stealth,90.180361,75,0.49,4.99,485450,5.1,
12/8/25,Candy Blast,90.180361,80,0.49,4.99,474050,0.8,
12/8/25,Ridge,90.180361,67,0.49,4.99,492600,0.8,
12/8/25,The Shadowland,90.180361,62,0.49,4.99,498620,0.8,
12/8/25,The Seeker,90.180361,84,0.49,4.99,503680,0.8,
12/8/25,Razortron 2000,90.180361,87,0.49,4.99,539720,5.1,
12/8/25,Help,90.180361,57,0.49,4.99,541920,4.8,
12/8/25,Trip to Vinelands,90.180361,83,0.49,4.99,546090,4.6,
12/8/25,Byte Family,90.180361,84,0.49,4.99,542880,4.8,
12/8/25,Star Fight,90.180361,51,0.49,4.99,551500,0.9,
12/8/25,Our Wonderful World,90.180361,76,0.49,4.99,562600,0.9,
12/8/25,Dexodonex,90.180361,88,0.49,4.99,552780,4.8,
12/8/25,"Planes, Bullets and Vodka",90.180361,86,0.49,4.99,562360,5.1,
12/8/25,Santa Rockstar,90.180361,83,0.49,4.99,567980,4.8,
12/8/25,The Agony,90.180361,58,0.49,4.99,568720,4.5,
12/8/25,Fighters Unleashed,90.180361,61,0.49,4.99,566560,0.8,
12/8/25,Mistwood Heroes,90.180361,62,0.49,4.99,573210,0.9,
12/8/25,Through the Mirror,90.180361,80,0.49,4.99,548720,0.8,
12/8/25,Teria,90.180361,62,0.49,4.99,557970,0.8,
12/8/25,Drunken Fight Simulator,90.180361,72,0.49,4.99,576480,4.9,
12/8/25,Hero,90.180361,73,0.49,4.99,486020,4.9,
12/8/25,Zombie Ballz,90.180361,75,0.49,4.99,581970,0.9,
12/8/25,TAIKU MANSION,90.180361,57,0.49,4.99,529760,0.8,
12/8/25,Doug and Lily,90.180361,84,0.49,4.99,601180,0.8,
12/8/25,Narborion Saga,90.180361,68,0.49,4.99,581340,0.8,
12/8/25,Broccoli Bob,90.180361,68,0.49,4.99,604140,0.8,
12/8/25,Rogue Port - Blue Nightmare,90.180361,78,0.49,4.99,595780,0.9,
12/8/25,Spellbind : Luppe's tale,90.180361,76,0.49,4.99,440790,0.9,
12/8/25,Possessed,90.180361,66,0.49,4.99,607210,4.8,
12/8/25,Stack,90.180361,76,0.49,4.99,637330,0.9,
12/8/25,Cyberhunt,90.180361,86,0.49,4.99,636150,3.1,
12/8/25,Freedom Fighter,90.180361,68,0.49,4.99,514360,0.8,
12/8/25,BREACH IT,90.180361,49,0.49,4.99,591790,4.8,
12/8/25,Trivia Night,90.180361,64,0.49,4.99,628570,0.8,
12/8/25,Noise,90.180361,56,0.49,4.99,676760,4.5,
12/8/25,TTV2,90.180361,84,0.49,4.99,701470,4.6,
12/8/25,The Doorbreaker,90.180361,30,0.49,4.99,699480,0.8,
12/8/25,Tetropunk,90.180361,79,0.49,4.99,540190,4.9,
12/8/25,Insane Cold: Back to the Ice Age,90.180361,50,0.49,4.99,764010,4.8,
12/8/25,Neon,90.180361,95,0.49,4.99,783090,3.8,
12/8/25,Road Scars: Origins,90.180361,77,0.49,4.99,346500,5.1,
12/8/25,Exile to Death,90.180361,49,0.49,4.99,489240,0.8,
12/8/25,Bighead Runner,90.180361,70,0.49,4.99,863490,4.3,
12/8/25,Kill Him! Online Wars,90.180361,60,0.49,4.99,817250,0.8,
12/8/25,Soldiers Lost Forever (1914-1918),90.180361,59,0.49,4.99,508630,0.8,
12/8/25,Hyper Simon X,90.180361,68,0.49,4.99,878180,1.1,
12/8/25,Extreme Racing on Highway,90.180361,74,0.49,4.99,1034160,4.9,
12/8/25,Find the Oil Racing Edition,90.180361,46,0.49,4.99,1039570,0.8,
12/8/25,Assault of the Robots,90.180361,73,0.49,4.99,1052900,0.9,
12/8/25,Dino Zoo Transport Simulator,90.180361,75,0.49,4.99,1155420,0.9,
12/8/25,The Last Hope: Trump vs Mafia - North Korea,90.180361,56,0.49,4.99,581030,4.8,
12/8/25,Jumping Knight,90.180361,68,0.49,4.99,1463870,0.8,
12/8/25,Raywin,90.180361,62,0.49,4.99,386110,0.8,
12/8/25,Barro Racing,90.180361,84,0.49,4.99,1307090,4.5,
12/8/25,Blackout Z: Slaughterhouse Edition,90.180361,83,0.49,4.99,729660,5.1,
12/8/25,Hollows Land,90.180361,65,0.49,4.99,338840,4.8,
12/8/25,Dead Drop,90.180361,83,0.49,4.99,587970,4.8,
12/8/25,SATANIC PANIC 666,90.180361,78,0.49,4.99,1630910,4.9,
12/8/25,Ninja Stealth 4,90.180361,76,0.49,4.99,1711840,3.3,
12/8/25,QUICKERFLAK,90.180361,89,0.49,4.99,1836120,4.6,
12/8/25,Unalive,90.180361,71,0.49,4.99,574640,4.9,
12/8/25,Barro F22,90.180361,84,0.49,4.99,1958600,3.6,
12/8/25,Demented,90.180361,75,0.49,4.99,418000,0.9,
12/8/25,The Cold Forest,90.180361,50,0.49,4.99,2094170,0.8,
12/8/25,Down To One,90.180361,36,0.49,4.99,334040,4.8,
12/8/25,Forbidden Planet,90.180361,50,0.49,4.99,434610,4.8,
12/8/25,Road Madness,90.180361,30,0.49,4.99,457710,4.8,
12/8/25,Killer Klownz,90.180361,90,0.49,4.99,564980,0.8,
12/8/25,The Slopes,90.180361,82,0.49,4.99,620790,0.9,
12/8/25,Machine Learning: Episode I,90.180361,79,0.49,4.99,524030,0.9,
12/8/25,Diastone: Memories,90.180361,76,0.49,4.99,803130,0.9,
12/8/25,Barro 2024,90.180361,74,0.49,4.99,3119720,5.2,
12/8/25,EDGEandTRIGGER,90.180361,88,0.49,4.99,66335,4.8,
